Questions,EHscore,LMScore,BSscore,CFScore,Category
My occupation belongs to the following category,0,0,0,0,BS
I am not too obsessed with being perfect at everything and I am satisfied with doing my best.,0,0,0,0,LM
It takes me the following amount of time to finish a meal,0,0,0,0,EH
"On average, I walk the following amount of time per day.",0,0,0,0,BS
I understand my own emotions well.,0,0,0,0,CF
"Compared to others in the same age group, I engage in relatively less physical activity.",0,0,0,0,BS
I am very observant and act accordingly.,0,0,0,0,CF
I have drinking gatherings at the following frequencies,0,0,0,0,EH
It takes me the following amount of time to lie down after eating,0,0,0,0,EH
"When I drink alcohol, I consume the following amounts",0,0,0,0,EH
I eat midnight snack at the following frequencies,0,0,0,0,EH
I am aware of my weaknesses and make an effort to improve them.,0,0,0,0,LM
I exercise the following number of times per week.,0,0,0,0,BS
I sweat a lot at work/school.,0,0,0,0,BS
I am satisfied with the people around me.,0,0,0,0,CF
My average daily sleep time is the following.,0,0,0,0,BS
I spend the following amount of time on my phone during my leisure time.,0,0,0,0,BS
I believe that having confidence and enjoying what I am doing can lead to better results.,0,0,0,0,LM
"When I do what I want to do, I feel confident and can easily start.",0,0,0,0,LM
I often sweat even when I am not doing anything.,0,0,0,0,BS
It feels good to praise myself when I do something well.,0,0,0,0,LM
I find it difficult to communicate with others.,0,0,0,0,CF
I tend to criticize myself often when I make mistakes.,0,0,0,0,LM
"When I have a meal, I eat rice in the following amounts",0,0,0,0,EH
I take the lead in conversations in group settings.,0,0,0,0,CF
I often feel tired after finishing work/daily routine.,0,0,0,0,BS
I frequently feel satisfied with the life I am living.,0,0,0,0,LM
I drink water as follows per day,0,0,0,0,EH
I eat meals at the following frequencies per day,0,0,0,0,EH
I am not worried about my future interpersonal relationships.,0,0,0,0,CF
I often hear that I have a good personality.,0,0,0,0,CF
I am interested in others.,0,0,0,0,CF
I understand the emotions of others well.,0,0,0,0,CF
"I eat instant food, fried food, etc. at the following frequencies",0,0,0,0,EH
I have a strong sense of self-assertion.,0,0,0,0,CF
"Compared to others in the same age group, my occupation is physically demanding.",0,0,0,0,BS
I feel proud of myself when I accomplish something and like to brag about it to others.,0,0,0,0,LM
I generally maintain a positive attitude about what I am doing and make an effort to reduce stress.,0,0,0,0,LM
I smoke cigarettes as follows per day,0,0,0,0,EH
"I make an effort to maintain a healthy lifestyle on a regular basis, which helps me reduce stress.",0,0,0,0,LM
